,Q Learning Algorithm,Episodes:1000,Cliff Walk

,Shortest Path
X-X-X-X,0.85,0.75
0.85,15,15
0.85,15,15
0.85,13,13
0.85,13,13
0.85,13,13

0.75,13,13
0.75,13,13
0.75,13,13
0.75,13,13
0.75,13,13


,Longest Path
X-X-X-X,0.85,0.75
0.85,585,597
0.85,657,855
0.85,855,983
0.85,983,1456
0.85,1456,1456

0.75,1456,1456
0.75,1456,1456
0.75,1456,1456
0.75,1456,1456
0.75,1456,1456


,Total time
X-X-X-X,0.85,0.75
0.85,0:00:30.692039,0:00:34.135136
0.85,0:00:39.550087,0:00:46.319971
0.85,0:00:41.263861,0:00:32.344067
0.85,0:00:49.171193,0:00:50.824667
0.85,0:00:43.460692,0:00:39.660266

0.75,0:00:48.328793,0:00:53.317840
0.75,0:00:54.579869,0:00:50.966009
0.75,0:01:02.344965,0:01:00.663997
0.75,0:00:55.528080,0:00:57.400496
0.75,0:01:06.748492,0:01:02.414484


,Q Table
XXXXXX,0.85,,0.75,
,Final,Full,Final,Full
0.85,14,135,14,135
0.85,14,135,14,135
0.85,12,135,12,135
0.85,12,135,12,135
0.85,12,135,12,135

0.75,12,135,12,135
0.75,12,135,12,135
0.75,12,135,12,135
0.75,12,135,12,135
0.75,12,135,12,135

