,Q Learning Algorithm,Episodes:1000,Obstacle Cross

,Shortest Path
X-X-X-X,0.6,0.55,0.5
0.6,0,0,0
0.6,36,36,36
0.6,36,36,36
0.6,36,36,36
0.6,36,36,36

0.55,36,36,36
0.55,36,36,36
0.55,36,36,36
0.55,36,36,36
0.55,36,36,36

0.5,36,36,34
0.5,34,34,34
0.5,34,34,34
0.5,34,34,34
0.5,34,34,34


,Longest Path
X-X-X-X,0.6,0.55,0.5
0.6,0,0,0
0.6,36,98,98
0.6,98,98,98
0.6,98,98,98
0.6,98,98,98

0.55,98,98,98
0.55,98,98,98
0.55,105,105,105
0.55,105,105,105
0.55,105,105,105

0.5,105,105,105
0.5,105,105,105
0.5,105,105,136
0.5,136,136,136
0.5,136,136,136


,Total time
X-X-X-X,0.6,0.55,0.5
0.6,0:00:43.845361,0:00:30.273371,0:00:29.825951
0.6,0:00:30.080979,0:00:24.208474,0:00:25.587614
0.6,0:00:39.608689,0:00:33.766342,0:00:35.839692
0.6,0:00:35.673769,0:00:30.824343,0:00:27.906822
0.6,0:00:34.077771,0:00:34.826672,0:00:36.695849

0.55,0:00:32.905839,0:00:29.675595,0:00:23.843772
0.55,0:00:36.009856,0:00:39.596175,0:00:31.466599
0.55,0:01:10.641234,0:02:05.571144,0:01:51.238911
0.55,0:01:51.164125,0:00:28.111294,0:00:28.204128
0.55,0:00:35.102452,0:00:30.318189,0:00:24.238113

0.5,0:00:31.287179,0:00:26.360278,0:00:24.064101
0.5,0:00:28.683064,0:00:24.225181,0:00:26.644163
0.5,0:00:29.044853,0:00:32.536572,0:00:27.850174
0.5,0:00:43.637689,0:00:23.758168,0:00:26.423631
0.5,0:00:31.304227,0:00:25.852971,0:00:23.010986


,Q Table
XXXXXX,0.6,,0.55,,0.5,
,Final,Full,Final,Full,Final,Full
0.6,0,104,0,101,0,92
0.6,26,120,21,112,20,95
0.6,22,112,21,100,20,100
0.6,22,112,22,106,20,101
0.6,19,103,18,97,21,108

0.55,18,100,23,112,20,96
0.55,20,104,21,103,22,108
0.55,26,111,20,101,19,94
0.55,21,100,20,103,20,104
0.55,22,105,23,111,19,94

0.5,21,106,18,95,25,104
0.5,24,105,20,93,25,112
0.5,25,108,23,100,25,116
0.5,23,99,24,115,23,98
0.5,23,99,24,107,25,96

