,Q Learning Algorithm,Episodes:1000,Obstacle Walls

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,18,18,18
0.9,18,18,18
0.9,18,18,18
0.9,18,18,18
0.9,18,18,18

0.8,18,18,18
0.8,18,18,18
0.8,18,18,18
0.8,18,18,18
0.8,18,18,18

0.7,18,18,18
0.7,18,18,18
0.7,18,18,18
0.7,18,18,18
0.7,18,18,18


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,237,237,237
0.9,252,266,266
0.9,477,477,477
0.9,477,477,477
0.9,477,477,477

0.8,477,477,477
0.8,477,477,477
0.8,477,477,477
0.8,477,477,477
0.8,618,618,618

0.7,618,618,618
0.7,618,618,618
0.7,618,618,618
0.7,618,618,618
0.7,618,618,618


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:01:01.594641,0:01:05.628181,0:01:16.689433
0.9,0:01:14.298801,0:01:04.704620,0:01:23.446678
0.9,0:01:29.789898,0:01:35.997415,0:01:27.593094
0.9,0:01:28.442576,0:01:40.791461,0:01:27.015391
0.9,0:01:27.975383,0:01:28.018038,0:01:53.996945

0.8,0:02:15.291160,0:02:14.198243,0:01:56.469944
0.8,0:02:18.564239,0:02:17.951433,0:02:13.885356
0.8,0:02:13.762891,0:02:09.890763,0:02:27.482433
0.8,0:02:03.456009,0:02:28.656889,0:02:37.067412
0.8,0:02:47.529064,0:02:23.623349,0:02:38.817156

0.7,0:02:44.456461,0:03:05.319749,0:02:57.182712
0.7,0:02:30.778345,0:03:37.685196,0:02:49.055545
0.7,0:03:01.769899,0:03:35.772598,0:03:19.553545
0.7,0:03:36.465010,0:03:10.271639,0:03:14.504175
0.7,0:03:57.345800,0:03:49.888674,0:03:20.584529


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,17,125,17,125,17,118
0.9,17,124,17,124,17,123
0.9,17,125,17,124,17,123
0.9,17,125,17,121,17,124
0.9,17,121,17,125,17,124

0.8,17,123,17,123,17,125
0.8,17,125,17,123,17,125
0.8,17,124,17,122,17,125
0.8,17,125,17,124,17,124
0.8,17,125,17,125,17,124

0.7,17,124,17,125,17,125
0.7,17,125,17,125,17,124
0.7,17,125,17,125,17,122
0.7,17,123,17,123,17,125
0.7,17,125,17,122,17,125

