,Q Learning Algorithm,Episodes:1000,Obstacle Walls

,Shortest Path
X-X-X-X,0.95,0.93
0.95,20,18
0.95,18,18
0.95,18,18
0.95,18,18
0.95,18,18

0.93,18,18
0.93,18,18
0.93,18,18
0.93,18,18
0.93,18,18


,Longest Path
X-X-X-X,0.95,0.93
0.95,550,550
0.95,550,550
0.95,550,550
0.95,550,550
0.95,550,550

0.93,550,550
0.93,550,550
0.93,569,569
0.93,585,585
0.93,771,771


,Total time
X-X-X-X,0.95,0.93
0.95,0:01:15.045168,0:00:52.694518
0.95,0:00:56.810886,0:01:09.657387
0.95,0:01:13.153722,0:01:20.321170
0.95,0:01:23.649093,0:01:34.392677
0.95,0:01:37.574972,0:01:20.799221

0.93,0:01:31.132599,0:01:38.376675
0.93,0:01:33.065345,0:01:29.052157
0.93,0:01:35.283729,0:01:59.355740
0.93,0:01:58.806787,0:01:50.242863
0.93,0:02:16.550803,0:02:00.681897


,Q Table
XXXXXX,0.95,,0.93,
,Final,Full,Final,Full
0.95,19,125,18,125
0.95,18,121,18,125
0.95,18,125,18,121
0.95,18,125,18,122
0.95,18,125,18,125

0.93,18,125,18,123
0.93,18,123,18,124
0.93,18,125,18,125
0.93,17,124,18,123
0.93,18,125,18,125

