,Q Learning Algorithm,Episodes:500,Obstacle

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,17,15,13
0.9,13,13,13
0.9,13,13,13
0.9,13,13,13

0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13

0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,393,593,837
0.9,837,837,837
0.9,837,837,837
0.9,1277,1277,1277

0.8,1277,1277,1277
0.8,1277,1277,1277
0.8,1277,1277,1277
0.8,1277,1277,1277

0.7,1278,1278,1278
0.7,1278,1278,1278
0.7,1278,1278,1278
0.7,1278,1278,1278


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:24.119327,0:00:27.902731,0:00:25.281729
0.9,0:00:30.380985,0:00:28.390926,0:00:31.589102
0.9,0:00:30.668217,0:00:29.143088,0:00:31.161891
0.9,0:00:37.644410,0:00:29.102938,0:00:37.916764

0.8,0:00:35.589403,0:00:32.526247,0:00:36.019915
0.8,0:00:40.055432,0:00:39.344724,0:00:44.601218
0.8,0:00:41.264385,0:00:46.966960,0:00:47.963696
0.8,0:00:49.649320,0:00:38.950882,0:00:37.545971

0.7,0:00:58.210507,0:00:49.798270,0:00:36.399177
0.7,0:00:50.425623,0:00:51.425760,0:00:59.957261
0.7,0:00:38.479302,0:00:48.465794,0:01:06.136095
0.7,0:00:54.653409,0:00:37.829149,0:00:59.476965


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,16,143,14,144,12,144
0.9,12,144,12,144,12,144
0.9,12,144,12,144,12,143
0.9,12,144,12,144,12,144

0.8,12,144,12,144,12,144
0.8,12,144,12,144,12,144
0.8,12,144,12,144,12,144
0.8,12,144,12,144,12,144

0.7,12,144,12,144,12,144
0.7,12,144,12,144,12,144
0.7,12,143,12,144,12,144
0.7,12,144,12,144,12,144

