,Q Learning Algorithm,Episodes:500,Obstacle

,Shortest Path
X-X-X-X,0.75,0.7,0.6
0.75,15,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13

0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13

0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13


,Longest Path
X-X-X-X,0.75,0.7,0.6
0.75,350,979,979
0.75,1002,1002,1084
0.75,1084,1084,1084
0.75,1084,1084,1084
0.75,1084,1084,1084
0.75,1084,1084,1084
0.75,1084,1084,1084
0.75,1084,1084,1084
0.75,1123,1123,1123
0.75,1123,1123,1123

0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123
0.7,1123,1123,1123

0.6,1123,1123,1123
0.6,1123,1123,1123
0.6,1123,1123,1123
0.6,1123,1123,1123
0.6,1158,1158,1158
0.6,1158,1158,1158
0.6,1158,1158,1158
0.6,1158,1158,1158
0.6,1158,1158,1158
0.6,1158,1158,1158


,Total time
X-X-X-X,0.75,0.7,0.6
0.75,0:00:23.508416,0:00:26.983605,0:00:35.862243
0.75,0:00:31.027028,0:00:33.643490,0:00:32.091202
0.75,0:00:25.960402,0:00:34.166638,0:00:39.616382
0.75,0:00:39.893568,0:00:44.992607,0:00:38.069067
0.75,0:00:44.230017,0:00:32.133084,0:00:46.898625
0.75,0:00:37.610582,0:00:30.664686,0:00:39.963133
0.75,0:00:35.712556,0:00:56.458844,0:00:49.062568
0.75,0:00:54.505372,0:00:58.017581,0:01:04.128031
0.75,0:00:43.446657,0:00:44.121828,0:00:46.849934
0.75,0:00:43.170345,0:00:45.901092,0:00:53.850027

0.7,0:01:10.686271,0:00:53.350752,0:01:15.005328
0.7,0:01:13.837803,0:01:14.106703,0:01:05.188179
0.7,0:01:08.401467,0:01:04.177412,0:01:24.950490
0.7,0:01:13.348144,0:01:18.223809,0:01:15.128606
0.7,0:00:46.985614,0:01:13.533778,0:01:07.405593
0.7,0:01:42.378756,0:01:35.750759,0:01:38.231219
0.7,0:01:16.851608,0:01:28.063303,0:01:06.513476
0.7,0:01:44.126036,0:01:37.449908,0:01:31.790575
0.7,0:01:15.703425,0:01:52.766563,0:01:33.594593
0.7,0:01:11.994813,0:01:39.712156,0:01:25.404930

0.6,0:01:10.071219,0:01:15.919020,0:01:13.711984
0.6,0:01:23.145287,0:01:58.507829,0:01:55.628724
0.6,0:01:10.932869,0:01:52.915421,0:02:30.759862
0.6,0:01:56.798218,0:01:21.947783,0:01:43.406486
0.6,0:02:13.315737,0:01:47.433463,0:02:42.370161
0.6,0:01:24.593259,0:00:19.493419,0:00:18.756617
0.6,0:01:46.515010,0:02:26.419641,0:01:43.072759
0.6,0:01:22.831382,0:01:53.507433,0:01:53.330436
0.6,0:01:41.821755,0:02:47.686896,0:02:31.223981
0.6,0:02:20.177150,0:02:14.515467,0:01:50.435960


,Q Table
XXXXXX,0.75,,0.7,,0.6,
,Final,Full,Final,Full,Final,Full
0.75,14,144,13,144,13,144
0.75,13,144,13,144,13,144
0.75,13,144,13,144,13,144
0.75,13,144,13,144,13,144
0.75,13,144,13,144,13,144
0.75,13,144,13,143,13,144
0.75,13,144,13,144,13,144
0.75,13,144,13,144,13,144
0.75,13,144,13,144,13,144
0.75,13,144,13,144,13,144

0.7,13,144,13,144,13,144
0.7,13,144,13,144,13,144
0.7,13,144,13,144,13,144
0.7,13,144,13,144,13,144
0.7,13,144,13,144,13,144
0.7,13,144,13,144,13,144
0.7,13,144,13,144,13,144
0.7,13,144,13,144,13,144
0.7,13,143,13,144,13,144
0.7,13,144,13,144,13,144

0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144
0.6,13,144,13,144,13,144

