,SARSA Learning Algorithm,Episodes:1000,Obstacle Cross

,Shortest Path
X-X-X-X,0.9,0.8
0.9,18,18
0.9,18,18
0.9,18,18
0.9,18,18
0.9,18,18

0.8,18,18
0.8,18,18
0.8,18,18
0.8,18,18
0.8,18,18


,Longest Path
X-X-X-X,0.9,0.8
0.9,1101,1101
0.9,1101,1101
0.9,1588,1588
0.9,1588,1588
0.9,1588,1588

0.8,1588,1588
0.8,1625,1625
0.8,1625,1625
0.8,1625,1625
0.8,1625,1625


,Total time
X-X-X-X,0.9,0.8
0.9,0:03:42.006551,0:02:11.183316
0.9,0:04:03.321102,0:02:17.749733
0.9,0:04:38.360876,0:02:16.896379
0.9,0:04:10.941218,0:02:46.083207
0.9,0:04:20.414052,0:01:07.296753

0.8,0:02:53.553253,0:01:16.313950
0.8,0:02:29.308896,0:01:19.262714
0.8,0:05:30.832395,0:03:49.965506
0.8,0:06:53.892439,0:03:44.094939
0.8,0:06:59.597278,0:03:53.142684


,Q Table
XXXXXX,0.9,,0.8,
,Final,Full,Final,Full
0.9,17,115,17,119
0.9,17,121,17,122
0.9,17,121,17,122
0.9,17,122,17,121
0.9,17,119,17,113

0.8,17,120,17,114
0.8,17,121,17,117
0.8,17,112,17,122
0.8,17,115,17,119
0.8,17,122,17,122

