,SARSA Learning Algorithm,Episodes:1000,Obstacle Walls

,Shortest Path
X-X-X-X,0.95,0.93
0.95,20,18
0.95,18,18
0.95,18,18
0.95,18,18
0.95,18,18

0.93,18,18
0.93,18,18
0.93,18,18
0.93,18,18
0.93,18,18


,Longest Path
X-X-X-X,0.95,0.93
0.95,2668,2668
0.95,2720,2720
0.95,2720,2720
0.95,2720,2720
0.95,2720,2720

0.93,4768,4768
0.93,4768,4768
0.93,4768,4768
0.93,4768,4768
0.93,4768,4768


,Total time
X-X-X-X,0.95,0.93
0.95,0:07:25.928627,0:06:06.971058
0.95,0:06:46.191101,0:04:44.574424
0.95,0:06:57.782829,0:05:57.640667
0.95,0:07:15.457495,0:07:00.614672
0.95,0:06:57.557286,0:07:11.456087

0.93,0:10:29.308224,0:07:25.527839
0.93,0:13:36.550478,0:09:08.798913
0.93,0:11:59.761070,0:08:17.364635
0.93,0:10:26.018477,0:11:05.911138
0.93,0:10:54.447257,0:11:12.188687


,Q Table
XXXXXX,0.95,,0.93,
,Final,Full,Final,Full
0.95,19,125,17,125
0.95,17,125,17,125
0.95,17,125,17,125
0.95,17,125,17,125
0.95,17,125,17,125

0.93,17,125,17,124
0.93,17,125,17,125
0.93,17,125,17,125
0.93,17,125,17,125
0.93,17,125,17,125

