,Q Learning Algorithm,Episodes:500,Cliff Walk

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,15,15,15
0.9,15,15,15
0.9,15,15,15
0.9,15,13,13
0.9,13,13,13
0.9,13,13,13
0.9,13,13,13
0.9,13,13,13
0.9,13,13,13
0.9,13,13,13

0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13
0.8,13,13,13

0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,315,315,315
0.9,594,594,594
0.9,619,619,619
0.9,619,619,619
0.9,619,635,635
0.9,635,635,635
0.9,635,635,635
0.9,635,635,635
0.9,853,853,853
0.9,853,853,853

0.8,853,853,853
0.8,853,853,853
0.8,1000,1000,1000
0.8,1000,1000,1000
0.8,1000,1000,1000
0.8,1000,1000,1000
0.8,1000,1000,1000
0.8,1000,1000,1000
0.8,1000,1000,1000
0.8,1000,1000,1000

0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000
0.7,1000,1000,1000


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:20.487813,0:00:23.537368,0:00:29.004627
0.9,0:00:22.175537,0:00:25.947583,0:00:23.720235
0.9,0:00:26.132856,0:00:30.315214,0:00:27.532308
0.9,0:00:30.174133,0:00:26.371209,0:00:30.630421
0.9,0:00:32.795723,0:00:28.716827,0:00:28.056291
0.9,0:00:34.077579,0:00:29.711972,0:00:32.097094
0.9,0:00:35.212350,0:00:32.939728,0:00:39.378755
0.9,0:00:38.853046,0:00:40.577662,0:00:33.158833
0.9,0:00:37.984272,0:00:38.120551,0:00:39.187445
0.9,0:00:32.777142,0:00:46.203185,0:00:34.421775

0.8,0:00:45.402115,0:00:47.456773,0:00:36.272883
0.8,0:00:46.304652,0:00:41.109272,0:00:40.066762
0.8,0:00:47.251444,0:00:45.128170,0:00:55.972021
0.8,0:00:56.380499,0:00:56.434049,0:00:44.937405
0.8,0:01:02.979955,0:00:45.087331,0:00:47.115485
0.8,0:00:45.557168,0:00:53.859313,0:00:53.178974
0.8,0:01:05.847299,0:00:57.109280,0:00:48.547429
0.8,0:00:53.121442,0:00:48.735427,0:00:55.411311
0.8,0:01:35.120444,0:01:24.470788,0:01:10.458104
0.8,0:01:47.353241,0:01:48.108814,0:01:32.723958

0.7,0:01:51.691559,0:01:04.844895,0:00:56.906910
0.7,0:01:00.352497,0:01:05.247117,0:01:01.653334
0.7,0:00:59.651839,0:01:12.680591,0:01:04.722518
0.7,0:01:06.114205,0:01:14.742556,0:01:05.664452
0.7,0:01:05.983808,0:01:37.335424,0:01:26.840227
0.7,0:01:15.689667,0:01:08.111644,0:01:03.425404
0.7,0:01:42.203067,0:01:33.843714,0:01:25.343657
0.7,0:01:06.062404,0:01:19.890644,0:01:25.093849
0.7,0:01:31.042620,0:01:25.557978,0:01:38.683677
0.7,0:01:23.979116,0:01:20.398424,0:01:34.639262


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63
0.9,14,63,12,63,12,63
0.9,12,63,12,63,12,63
0.9,12,63,12,63,12,63
0.9,12,63,12,63,12,63
0.9,12,63,12,63,12,63
0.9,12,63,12,63,12,63
0.9,12,63,12,63,12,63

0.8,12,63,12,63,12,63
0.8,12,62,12,63,12,63
0.8,12,63,12,63,12,63
0.8,12,63,12,63,12,63
0.8,12,63,12,63,12,63
0.8,12,63,12,63,12,63
0.8,12,63,12,63,12,63
0.8,12,63,12,63,12,63
0.8,12,63,12,63,12,63
0.8,12,63,12,63,12,63

0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63
0.7,12,63,12,63,12,63

