,Q Learning Algorithm,Episodes:1000,In-Path Obstacle

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.7,163,163,163
0.7,262,262,262
0.7,262,262,262
0.7,262,262,262
0.7,262,262,262
0.7,262,262,262
0.7,262,262,262
0.7,262,262,262
0.7,262,262,262
0.7,262,262,262


,Total time
X-X-X-X,0.9,0.8,0.7
0.7,0:00:22.577153,0:00:31.876731,0:00:36.886862
0.7,0:00:41.065829,0:00:38.695479,0:00:39.094625
0.7,0:00:45.479949,0:00:44.606044,0:00:44.569186
0.7,0:00:55.513685,0:00:59.245568,0:00:52.176852
0.7,0:01:06.906259,0:01:02.969591,0:01:06.655138
0.7,0:01:13.547800,0:01:14.450034,0:01:10.538400
0.7,0:01:12.860092,0:01:05.257258,0:01:07.052642
0.7,0:01:17.142785,0:01:12.320818,0:01:00.992044
0.7,0:01:18.338658,0:01:05.935728,0:01:10.179892
0.7,0:01:25.175615,0:01:18.182716,0:01:18.176594


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.7,11,69,11,71,11,71
0.7,11,69,11,72,11,70
0.7,11,69,11,72,11,73
0.7,11,70,11,73,11,67
0.7,11,73,11,73,11,73
0.7,11,73,11,73,11,70
0.7,11,71,11,71,11,71
0.7,11,70,11,63,11,67
0.7,11,71,11,72,11,73
0.7,11,70,11,71,11,73

