,Q Learning Algorithm,Episodes:1000,Cliff Walk

,Shortest Path
X-X-X-X,0.9,0.8
0.9,13,13
0.9,13,13
0.9,13,13
0.9,13,13
0.9,13,13

0.8,13,13
0.8,13,13
0.8,13,13
0.8,13,13
0.8,13,13


,Longest Path
X-X-X-X,0.9,0.8
0.9,335,335
0.9,335,335
0.9,335,377
0.9,377,377
0.9,377,377

0.8,377,377
0.8,377,377
0.8,377,377
0.8,377,377
0.8,382,382


,Total time
X-X-X-X,0.9,0.8
0.9,0:00:29.098810,0:00:33.577185
0.9,0:00:37.529405,0:00:34.041783
0.9,0:00:42.834253,0:00:45.154972
0.9,0:00:46.085991,0:00:43.454058
0.9,0:00:44.898303,0:00:43.376705

0.8,0:00:50.155773,0:00:48.673202
0.8,0:00:55.201027,0:00:52.005748
0.8,0:00:57.346875,0:00:55.147966
0.8,0:01:02.290164,0:00:59.275025
0.8,0:01:05.770613,0:01:01.281195


,Q Table
XXXXXX,0.9,,0.8,
,Final,Full,Final,Full
0.9,12,63,12,63
0.9,12,63,12,63
0.9,12,63,12,63
0.9,12,63,12,63
0.9,12,63,12,63

0.8,12,63,12,63
0.8,12,63,12,63
0.8,12,63,12,63
0.8,12,63,12,63
0.8,12,63,12,63

