,Q Learning Algorithm,Episodes:1000,In-Path Obstacle

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12

0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12

0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12
0.7,12,12,12


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,213,213,213
0.9,213,213,213
0.9,213,213,213
0.9,213,213,213
0.9,213,213,213
0.9,213,213,213
0.9,213,213,213
0.9,213,213,213
0.9,213,213,213
0.9,217,217,217

0.8,217,300,300
0.8,300,300,300
0.8,300,300,300
0.8,300,300,300
0.8,300,300,300
0.8,300,300,300
0.8,300,300,300
0.8,300,300,300
0.8,300,300,300
0.8,300,300,300

0.7,300,300,300
0.7,300,300,300
0.7,300,300,300
0.7,300,300,300
0.7,300,300,300
0.7,300,300,300
0.7,300,300,300
0.7,300,300,300
0.7,300,300,300
0.7,300,300,300


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:26.916586,0:00:23.485769,0:00:22.845923
0.9,0:00:32.209343,0:00:41.670804,0:00:33.870869
0.9,0:00:38.009686,0:00:39.075790,0:00:34.534023
0.9,0:00:50.313822,0:01:02.981242,0:00:48.889488
0.9,0:01:01.357287,0:01:11.276014,0:00:53.380492
0.9,0:01:08.190806,0:01:05.300408,0:00:54.490273
0.9,0:01:09.438875,0:00:59.289615,0:01:03.756761
0.9,0:01:15.056802,0:01:06.406596,0:01:00.558989
0.9,0:01:07.869828,0:01:10.483069,0:01:06.302290
0.9,0:01:18.639046,0:01:06.129995,0:01:17.877786

0.8,0:01:32.636261,0:01:26.833694,0:01:18.745205
0.8,0:01:21.015662,0:01:38.601951,0:01:35.250389
0.8,0:01:39.079564,0:01:48.915014,0:01:33.522821
0.8,0:01:57.379191,0:01:49.518711,0:01:35.183764
0.8,0:02:13.238892,0:01:42.170296,0:01:54.180728
0.8,0:02:10.224280,0:02:09.895076,0:01:49.151682
0.8,0:01:29.357556,0:01:34.957651,0:02:05.978483
0.8,0:02:37.665437,0:02:14.655568,0:02:03.825750
0.8,0:02:42.429817,0:02:09.166594,0:02:14.706648
0.8,0:02:39.635064,0:02:44.737688,0:02:20.000088

0.7,0:03:07.208688,0:03:03.938401,0:02:31.266007
0.7,0:02:40.667613,0:02:51.132769,0:02:17.984839
0.7,0:02:39.707091,0:02:29.082662,0:02:34.216280
0.7,0:03:13.159311,0:02:52.528104,0:02:17.102137
0.7,0:02:49.842941,0:02:59.258835,0:02:28.706639
0.7,0:02:51.617514,0:02:49.009077,0:02:58.479949
0.7,0:03:26.883956,0:02:51.733369,0:02:50.872259
0.7,0:03:26.743742,0:02:37.709193,0:02:51.527978
0.7,0:03:09.976672,0:03:08.067941,0:02:50.391039
0.7,0:03:31.367953,0:04:00.619113,0:03:28.173765


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,11,73,11,70,11,68
0.9,11,72,11,73,11,73
0.9,11,72,11,68,11,72
0.9,11,73,11,73,11,73
0.9,11,72,11,73,11,73
0.9,11,69,11,65,11,72
0.9,11,71,11,73,11,72
0.9,11,72,11,71,11,73
0.9,11,67,11,71,11,72
0.9,11,72,11,71,11,71

0.8,11,71,11,71,11,72
0.8,11,73,11,73,11,71
0.8,11,72,11,60,11,66
0.8,11,73,11,73,11,71
0.8,11,72,11,70,11,73
0.8,11,73,11,73,11,72
0.8,11,70,11,73,11,73
0.8,11,73,11,73,11,73
0.8,11,69,11,72,11,61
0.8,11,73,11,73,11,70

0.7,11,73,11,73,11,73
0.7,11,69,11,72,11,73
0.7,11,71,11,66,11,73
0.7,11,73,11,72,11,72
0.7,11,65,11,71,11,73
0.7,11,73,11,69,11,67
0.7,11,73,11,71,11,72
0.7,11,73,11,73,11,73
0.7,11,62,11,68,11,73
0.7,11,68,11,73,11,71

