,Q Learning Algorithm,Episodes:1000,Obstacle Pipe

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14

0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,521,521,521
0.9,521,549,549
0.9,549,549,549
0.9,549,549,549
0.9,549,549,549
0.9,549,549,549
0.9,549,549,549
0.9,549,644,644
0.9,644,644,644
0.9,644,644,644

0.8,644,644,644
0.8,644,644,644
0.8,644,644,644
0.8,644,644,644
0.8,644,644,644
0.8,644,644,644
0.8,644,644,644
0.8,644,644,644
0.8,644,644,644
0.8,644,644,644


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:34.947502,0:00:35.616168,0:00:36.867733
0.9,0:00:34.926519,0:00:36.322198,0:00:39.164877
0.9,0:00:36.240409,0:00:40.002900,0:00:40.000931
0.9,0:00:37.925569,0:01:00.626878,0:00:44.686289
0.9,0:01:12.239142,0:00:41.400064,0:00:56.938451
0.9,0:00:42.403441,0:00:46.033344,0:00:37.400581
0.9,0:00:42.155661,0:00:44.949509,0:00:45.811297
0.9,0:00:42.381561,0:00:53.836710,0:00:45.253467
0.9,0:01:10.251682,0:01:14.831510,0:01:28.344494
0.9,0:00:45.694449,0:01:21.474363,0:00:54.515676

0.8,0:01:40.227582,0:00:51.369712,0:01:02.651358
0.8,0:01:09.041723,0:01:01.285986,0:00:57.257349
0.8,0:00:50.737423,0:01:47.327421,0:01:07.414439
0.8,0:00:59.468328,0:01:02.333091,0:00:59.604384
0.8,0:01:00.097243,0:01:50.717294,0:01:08.584490
0.8,0:01:57.249619,0:00:56.337790,0:02:16.506028
0.8,0:01:07.714780,0:01:15.858893,0:01:46.717010
0.8,0:02:02.173909,0:01:07.935045,0:02:30.331381
0.8,0:00:55.448764,0:01:13.165521,0:01:24.029626
0.8,0:01:15.451584,0:01:39.074631,0:02:28.975655


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,76
0.9,13,76,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,76,13,77,13,77

0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77

