,Q Learning Algorithm,Episodes:1000,Obstacle Pipe

,Shortest Path
X-X-X-X,0.9,0.8
0.85,14,14
0.85,14,14
0.85,14,14
0.85,14,14
0.85,14,14


,Longest Path
X-X-X-X,0.9,0.8
0.85,347,347
0.85,618,618
0.85,618,618
0.85,618,618
0.85,618,618


,Total time
X-X-X-X,0.9,0.8
0.85,0:00:37.676137,0:00:33.499948
0.85,0:00:38.434533,0:00:35.752973
0.85,0:00:34.860980,0:00:37.457158
0.85,0:00:44.654431,0:00:43.849587
0.85,0:00:42.101827,0:00:44.773666


,Q Table
XXXXXX,0.9,,0.8,
,Final,Full,Final,Full
0.85,13,77,13,77
0.85,13,77,13,77
0.85,13,76,13,77
0.85,13,77,13,77
0.85,13,77,13,77

