,Q Learning Algorithm,Episodes:1000,Obstacle

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,12,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10

0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10

0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,215,290,547
0.9,547,547,547
0.9,547,547,547
0.9,547,547,547
0.9,547,547,547
0.9,547,547,547
0.9,547,547,547
0.9,715,715,715
0.9,715,715,715
0.9,715,715,715

0.8,715,715,715
0.8,715,715,715
0.8,715,715,715
0.8,715,715,715
0.8,715,715,715
0.8,715,715,715
0.8,715,715,715
0.8,715,715,715
0.8,715,715,715
0.8,715,715,715

0.7,715,715,715
0.7,715,715,715
0.7,715,715,715
0.7,715,715,715
0.7,715,715,715
0.7,715,715,715
0.7,715,715,715
0.7,715,715,715
0.7,715,715,715
0.7,715,715,715


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:30.633523,0:00:22.514614,0:00:34.088231
0.9,0:00:25.262994,0:00:30.553164,0:00:30.469829
0.9,0:00:33.692719,0:00:27.835398,0:00:42.690737
0.9,0:00:40.208274,0:00:38.979034,0:00:41.580592
0.9,0:00:27.135518,0:00:30.863956,0:00:47.643495
0.9,0:00:44.456632,0:00:51.366171,0:00:47.256194
0.9,0:00:32.430807,0:00:32.002220,0:00:34.925457
0.9,0:00:41.135884,0:00:56.976389,0:00:41.245786
0.9,0:00:48.256327,0:00:38.137297,0:01:06.215786
0.9,0:00:37.386719,0:01:15.914248,0:00:43.149412

0.8,0:00:46.075910,0:01:17.618232,0:00:56.928055
0.8,0:00:44.269147,0:00:57.193929,0:00:48.246152
0.8,0:01:05.349767,0:00:56.026699,0:01:24.431192
0.8,0:01:25.871758,0:01:21.164934,0:00:55.321471
0.8,0:00:50.459680,0:01:24.809262,0:01:06.084741
0.8,0:00:55.692652,0:01:31.301605,0:02:00.567033
0.8,0:01:00.506501,0:01:23.364023,0:00:53.706999
0.8,0:00:49.035862,0:01:37.394711,0:01:05.934997
0.8,0:01:25.297619,0:01:51.735071,0:01:55.513627
0.8,0:01:00.214433,0:01:45.500866,0:02:15.011796

0.7,0:00:57.930201,0:01:02.998952,0:01:10.202719
0.7,0:00:56.323591,0:01:06.707657,0:01:06.116552
0.7,0:00:53.135181,0:00:57.132667,0:02:33.717622
0.7,0:00:56.043833,0:01:09.554260,0:01:12.908523
0.7,0:01:50.126286,0:02:15.119315,0:01:14.029557
0.7,0:01:09.791675,0:01:14.217791,0:01:05.531493
0.7,0:01:08.511103,0:01:05.793486,0:02:58.193615
0.7,0:01:34.405892,0:02:39.404446,0:01:10.586005
0.7,0:01:12.641361,0:01:16.826320,0:01:17.083877
0.7,0:01:08.284488,0:01:20.760253,0:02:17.621049


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,11,81,9,81,9,81
0.9,9,81,9,77,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,76,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,80
0.9,9,79,9,81,9,81
0.9,9,81,9,81,9,81

0.8,9,81,9,81,9,81
0.8,9,76,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,80,9,81
0.8,9,81,9,81,9,81
0.8,9,78,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81

0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,79
0.7,9,79,9,79,9,81
0.7,9,81,9,81,9,80
0.7,9,81,9,81,9,80
0.7,9,81,9,81,9,81
0.7,9,81,9,80,9,81
0.7,9,81,9,81,9,81

