,SARSA Learning Algorithm,Episodes:500,Cliff Walk

,Shortest Path
X-X-X-X,0.9,0.8
0.9,21,21
0.9,17,17
0.9,17,17
0.9,17,17
0.9,17,17

0.8,17,17
0.8,17,17
0.8,17,17
0.8,17,17
0.8,17,17


,Longest Path
X-X-X-X,0.9,0.8
0.9,335,678
0.9,736,9266
0.9,9266,9266
0.9,9266,9266
0.9,9266,9266

0.8,9266,9266
0.8,9266,9266
0.8,9266,9266
0.8,9266,9266
0.8,9266,9266


,Total time
X-X-X-X,0.9,0.8
0.9,0:00:18.586096,0:00:14.287864
0.9,0:00:14.474098,0:00:28.921729
0.9,0:00:13.763935,0:00:13.725417
0.9,0:00:12.770215,0:00:12.559204
0.9,0:00:16.068992,0:00:13.424324

0.8,0:00:12.529988,0:00:12.814201
0.8,0:00:11.028102,0:00:10.997204
0.8,0:00:18.166305,0:00:13.837286
0.8,0:00:14.131643,0:00:13.632955
0.8,0:00:15.363588,0:00:15.517690


,Q Table
XXXXXX,0.9,,0.8,
,Final,Full,Final,Full
0.9,20,63,20,63
0.9,17,63,17,63
0.9,17,63,17,63
0.9,17,63,17,63
0.9,17,63,17,63

0.8,17,63,17,63
0.8,17,63,17,63
0.8,17,63,17,63
0.8,17,63,17,63
0.8,17,63,17,63

