,SARSA Learning Algorithm,Episodes:1000,Cliff Walk

,Shortest Path
X-X-X-X,0.87,0.77,0.67
0.9,15,15,15
0.9,15,15,15
0.9,15,15,15
0.9,15,15,15
0.9,15,15,15


,Longest Path
X-X-X-X,0.87,0.77,0.67
0.9,118,964,964
0.9,964,964,964
0.9,964,964,964
0.9,2402,2402,2402
0.9,2402,2402,2402


,Total time
X-X-X-X,0.87,0.77,0.67
0.9,0:00:29.594505,0:00:41.634186,0:00:48.001124
0.9,0:00:35.700093,0:00:48.662422,0:00:53.724325
0.9,0:00:40.392113,0:00:44.214077,0:00:52.388891
0.9,0:00:55.772875,0:01:05.563448,0:00:54.855133
0.9,0:00:50.878521,0:00:56.266974,0:01:06.435223


,Q Table
XXXXXX,0.87,,0.77,,0.67,
,Final,Full,Final,Full,Final,Full
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63

