,SARSA Learning Algorithm,Episodes:1000,In-Path Obstacle

,Shortest Path
X-X-X-X,0.75,0.65
0.9,15,15
0.9,14,14
0.9,14,14
0.9,12,12
0.9,12,12
0.9,12,12
0.9,12,12
0.9,12,12
0.9,12,12
0.9,12,12


,Longest Path
X-X-X-X,0.75,0.65
0.9,243,287
0.9,287,287
0.9,325,325
0.9,325,325
0.9,351,351
0.9,351,351
0.9,351,351
0.9,351,351
0.9,351,351
0.9,351,351


,Total time
X-X-X-X,0.75,0.65
0.9,0:00:46.186822,0:00:40.649251
0.9,0:00:56.142324,0:00:45.049231
0.9,0:01:03.516255,0:00:48.916094
0.9,0:01:09.786397,0:00:54.961406
0.9,0:01:18.695697,0:00:59.934519
0.9,0:01:16.789584,0:01:05.072181
0.9,0:01:36.211943,0:01:22.251939
0.9,0:01:45.557898,0:01:20.250032
0.9,0:01:55.779513,0:01:27.976777
0.9,0:02:22.219395,0:01:33.699803


,Q Table
XXXXXX,0.75,,0.65,
,Final,Full,Final,Full
0.9,11,73,11,73
0.9,13,73,13,73
0.9,13,73,13,73
0.9,12,71,12,73
0.9,12,71,12,73
0.9,12,73,12,73
0.9,12,73,12,73
0.9,12,73,12,73
0.9,12,73,12,73
0.9,12,73,12,73

