,SARSA Learning Algorithm,Episodes:1000,In-Path Obstacle

,Shortest Path
X-X-X-X,0.87,0.82,0.77
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12


,Longest Path
X-X-X-X,0.87,0.82,0.77
0.9,838,838,838
0.9,838,838,838
0.9,1020,1020,1020
0.9,1020,1020,1020
0.9,1020,1020,1020
0.9,1020,1020,1020
0.9,1020,1020,1020
0.9,1020,1020,1020
0.9,1020,1020,1020
0.9,1020,1020,1020


,Total time
X-X-X-X,0.87,0.82,0.77
0.9,0:02:11.952184,0:01:20.987558,0:01:02.890909
0.9,0:01:24.828207,0:01:35.416968,0:01:11.411174
0.9,0:02:11.727244,0:01:42.464993,0:01:29.519827
0.9,0:02:10.887011,0:01:49.674156,0:01:38.940680
0.9,0:02:20.224121,0:02:09.222700,0:01:38.027522
0.9,0:02:24.125870,0:01:58.231189,0:01:47.762534
0.9,0:02:29.019220,0:02:12.489388,0:01:54.819572
0.9,0:02:49.781884,0:02:20.290684,0:02:09.369192
0.9,0:02:56.244926,0:02:41.328914,0:02:19.361406
0.9,0:03:15.640558,0:02:58.551376,0:02:21.011913


,Q Table
XXXXXX,0.87,,0.82,,0.77,
,Final,Full,Final,Full,Final,Full
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,71
0.9,11,72,11,73,11,73
0.9,11,73,11,72,11,73
0.9,11,73,11,73,11,73

