,SARSA Learning Algorithm,Episodes:1000,Obstacle Pipe

,Shortest Path
X-X-X-X,0.85,0.75,0.65
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14


,Longest Path
X-X-X-X,0.85,0.75,0.65
0.9,1282,1849,2701
0.9,4708,4708,4708
0.9,4708,4708,4708
0.9,4708,4708,4708
0.9,5657,5657,5657
0.9,5657,5657,5657
0.9,5657,5657,5657
0.9,5657,5657,5657
0.9,5657,5657,5657
0.9,5657,5657,5657


,Total time
X-X-X-X,0.85,0.75,0.65
0.9,0:01:13.378881,0:01:41.785527,0:01:44.962025
0.9,0:01:51.391942,0:01:23.553014,0:01:42.129400
0.9,0:00:59.502441,0:01:34.404928,0:02:08.122871
0.9,0:02:08.173124,0:01:49.473724,0:02:36.886220
0.9,0:02:36.022608,0:02:07.897340,0:01:59.132461
0.9,0:02:06.167563,0:02:03.090928,0:02:50.412955
0.9,0:01:27.563234,0:02:24.657308,0:02:50.996276
0.9,0:02:25.243283,0:02:30.394906,0:02:48.428770
0.9,0:01:43.278363,0:02:37.735858,0:03:10.313704
0.9,0:01:57.577747,0:02:26.812908,0:02:58.179644


,Q Table
XXXXXX,0.85,,0.75,,0.65,
,Final,Full,Final,Full,Final,Full
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77

