,SARSA Learning Algorithm,Episodes:1000,Obstacle Pipe

,Shortest Path
X-X-X-X,0.87,0.82,0.77
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14


,Longest Path
X-X-X-X,0.87,0.82,0.77
0.9,3755,3755,3755
0.9,7948,7948,7948
0.9,9218,9218,9218
0.9,9218,9218,9218
0.9,9218,9218,9218
0.9,33777,33777,33777
0.9,33777,33777,33777
0.9,33777,33777,33777
0.9,33777,33777,33777
0.9,33777,33777,33777


,Total time
X-X-X-X,0.87,0.82,0.77
0.9,0:01:21.638990,0:01:10.062359,0:01:19.421353
0.9,0:01:31.012377,0:01:55.441024,0:01:42.593471
0.9,0:02:18.336304,0:02:03.438559,0:01:58.413103
0.9,0:01:43.193072,0:01:45.079143,0:01:56.177550
0.9,0:01:08.880827,0:01:34.298139,0:01:45.916178
0.9,0:04:42.309383,0:01:37.972756,0:01:51.834765
0.9,0:02:05.007190,0:01:50.711586,0:01:45.039490
0.9,0:01:16.225802,0:02:02.568477,0:03:04.175017
0.9,0:01:24.352197,0:02:03.591251,0:01:42.607376
0.9,0:01:45.703612,0:01:33.329132,0:02:29.742668


,Q Table
XXXXXX,0.87,,0.82,,0.77,
,Final,Full,Final,Full,Final,Full
0.9,13,77,13,76,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77

