,SARSA Learning Algorithm,Episodes:1000,Obstacle

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10

0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10
0.8,10,10,10

0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10
0.7,10,10,10


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,427,427,3142
0.9,3142,3142,14053
0.9,14053,14053,14053
0.9,14053,14053,14053
0.9,14053,14053,14053
0.9,14053,14053,14053
0.9,14053,14053,14053
0.9,14053,14053,14053
0.9,14053,14053,14053
0.9,14053,14053,14053

0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053
0.8,14053,14053,14053

0.7,14053,14053,50315
0.7,50315,50315,50315
0.7,50315,50315,50315
0.7,50315,50315,50315
0.7,50315,50315,50315
0.7,50315,50315,50315
0.7,50315,50315,50315
0.7,50315,50315,50315
0.7,50315,50315,50315
0.7,50315,50315,50315


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:17.464174,0:00:15.050072,0:00:46.766694
0.9,0:00:19.440785,0:00:20.072139,0:01:17.752357
0.9,0:00:15.516836,0:00:17.664012,0:00:42.703105
0.9,0:00:13.355348,0:00:17.689082,0:00:35.591795
0.9,0:00:17.381504,0:00:19.332724,0:00:22.940897
0.9,0:00:14.174745,0:00:17.741599,0:00:16.903292
0.9,0:00:15.100650,0:00:12.012756,0:00:19.226500
0.9,0:00:15.768036,0:00:18.028100,0:00:21.591781
0.9,0:00:13.089582,0:00:17.789738,0:00:15.536770
0.9,0:00:15.281391,0:00:15.781769,0:00:17.479288

0.8,0:00:12.664485,0:00:16.412048,0:00:17.819818
0.8,0:00:13.753390,0:00:14.639673,0:00:17.534347
0.8,0:00:17.064055,0:00:13.822681,0:00:17.196901
0.8,0:00:12.322693,0:00:16.632709,0:00:17.420019
0.8,0:00:11.940541,0:00:14.338418,0:00:20.599372
0.8,0:00:21.398214,0:00:12.972242,0:00:19.085402
0.8,0:00:12.340112,0:00:14.431007,0:00:17.595363
0.8,0:00:15.149024,0:00:13.428874,0:00:26.309886
0.8,0:00:16.431077,0:00:17.293605,0:00:15.717994
0.8,0:00:14.850719,0:00:47.823793,0:00:20.022832

0.7,0:00:15.033387,0:00:16.892148,0:03:59.454485
0.7,0:01:16.134709,0:01:14.973398,0:01:48.579978
0.7,0:01:53.902164,0:01:48.357409,0:01:28.103607
0.7,0:01:21.699347,0:01:47.355113,0:00:21.049725
0.7,0:00:12.486647,0:00:17.141614,0:00:16.355999
0.7,0:00:13.701074,0:00:13.810021,0:00:34.289519
0.7,0:00:13.836680,0:00:13.949851,0:02:51.738525
0.7,0:00:14.078778,0:00:13.090799,0:01:23.847729
0.7,0:00:18.110067,0:00:15.513585,0:00:32.878884
0.7,0:00:21.405100,0:00:30.099722,0:00:23.871918


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,79,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81

0.8,9,81,9,81,9,81
0.8,9,80,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,79,9,79,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81
0.8,9,81,9,81,9,81

0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,80,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,81,9,81,9,81
0.7,9,80,9,81,9,81
0.7,9,81,9,81,9,81

